date;CONFIRMES;DECES;GUERIS;ACTIFS;teste;positif;cas_grave
02/03/2020;1;0;0;1;3;1;
03/03/2020;2;0;0;2;3;2;
04/03/2020;4;0;0;4;1;1;
05/03/2020;4;0;0;4;0;0;
06/03/2020;4;0;1;3;0;0;
07/03/2020;4;0;1;3;2;0;
08/03/2020;4;0;1;3;2;0;
09/03/2020;4;0;1;3;6;0;
10/03/2020;4;0;1;3;1;0;
11/03/2020;5;0;2;3;7;1;
12/03/2020;10;0;2;8;6;5;
13/03/2020;21;0;2;19;12;11;
14/03/2020;24;0;2;22;3;3;
15/03/2020;26;0;2;24;2;2;
16/03/2020;27;0;2;25;9;1;
17/03/2020;31;0;2;29;44;4;
18/03/2020;36;0;2;34;27;5;
19/03/2020;38;0;5;33;22;2;
20/03/2020;47;0;5;42;56;9;
21/03/2020;56;0;5;51;31;9;
22/03/2020;67;0;5;62;85;11;
23/03/2020;79;0;8;71;60;12;
24/03/2020;86;0;8;78;59;7;
25/03/2020;99;0;9;90;142;13;
26/03/2020;105;0;9;96;130;6;
27/03/2020;119;0;11;108;144;14;
28/03/2020;130;0;18;112;98;11;
29/03/2020;142;0;27;115;151;12;
30/03/2020;162;0;28;134;87;20;
31/03/2020;175;0;40;135;97;13;
01/04/2020;190;1;45;144;195;15;
02/04/2020;195;1;55;139;127;5;
03/04/2020;207;1;66;140;153;12;
04/04/2020;219;2;72;145;177;12;
05/04/2020;222;2;82;138;92;3;
06/04/2020;226;2;92;132;95;4;
07/04/2020;237;2;105;130;110;11;
08/04/2020;244;2;113;129;108;7;
09/04/2020;250;2;123;125;199;6;
10/04/2020;265;2;137;126;195;15;
11/04/2020;278;2;152;124;173;13;
12/04/2020;280;2;171;107;104;2;
13/04/2020;291;2;178;111;144;11;
14/04/2020;299;2;183;114;272;8;
15/04/2020;314;2;190;122;227;15;
16/04/2020;335;2;194;139;435;21;
17/04/2020;342;2;198;142;287;7;
18/04/2020;350;3;211;136;226;8;
19/04/2020;367;3;220;144;313;17;
20/04/2020;377;5;235;137;281;10;
21/04/2020;412;5;242;165;466;35;
22/04/2020;442;6;253;183;482;30;
23/04/2020;479;6;257;216;387;37;
24/04/2020;545;6;262;277;528;66;
25/04/2020;614;7;276;331;703;69;
26/04/2020;672;8;283;381;579;57;
27/04/2020;736;9;284;443;677;64;
28/04/2020;823;9;296;518;873;87;
29/04/2020;882;9;315;558;800;59;
30/04/2020;933;9;334;590;1161;51;
01/05/2020;1024;9;356;659;901;91;
02/05/2020;1115;9;368;738;1190;91;
03/05/2020;1182;9;372;801;810;67;
04/05/2020;1271;10;415;846;807;87;
05/05/2020;1329;11;470;848;702;58;
06/05/2020;1433;12;493;928;1182;104;
07/05/2020;1492;13;562;917;1027;59;
08/05/2020;1551;13;611;927;872;59;
09/05/2020;1634;15;643;976;848;83;
10/05/2020;1709;18;650;1041;1356;75;
11/05/2020;1886;19;715;1152;917;177;
12/05/2020;1995;19;742;1234;1099;109;
13/05/2020;2105;21;782;1301;920;110;
14/05/2020;2189;23;842;1323;992;84;
15/05/2020;2310;25;890;1394;920;110;
16/05/2020;2429;25;949;1451;989;116;
17/05/2020;2480;25;973;1481;816;51;
18/05/2020;2544;26;1076;1441;1172;64;11
19/05/2020;2617;30;1133;1453;930;73;9
20/05/2020;2714;30;1186;1497;1042;97;9
21/05/2020;2812;30;1251;1530;1215;98;11
22/05/2020;2909;33;1311;1564;1199;97;11
23/05/2020;2976;34;1416;1525;934;67;12
24/05/2020;3047;35;1456;1555;889;71;12
25/05/2020;3130;35;1515;1579;1091;83;15
26/05/2020;3161;36;1565;1559;531;31;18
27/05/2020;3253;38;1586;1628;961;92;20
28/05/2020;3348;39;1686;1622;991;95;19
29/05/2020;3429;41;1738;1649;1236;81;20
30/05/2020;3535;42;1761;1731;1370;106;14
31/05/2020;3645;42;1801;1801;1024;110;14
01/06/2020;3739;42;1858;1838;1820;94;14
02/06/2020;3836;43;1954;1838;1339;97;14
03/06/2020;3932;45;2063;1823;1549;96;14
04/06/2020;4021;45;2162;1813;1348;89;16
05/06/2020;4155;45;2276;1833;1700;134;15
06/06/2020;4249;47;2512;1689;1166;94;18
07/06/2020;4328;49;2588;1690;1266;79;15
08/06/2020;4427;49;2699;1678;1010;99;14